some statistics on the price of rice grouped by (day,year)

library(plyr)

> ddply(d, as.character(list('year','day','product')), function(x)data.frame(mean=mean(x$price),stdev=sd(x$price)) )
     year  day product      mean     stdev
195  2005  195    Rice 1172.0864 1237.2597
196  2005  196    Rice 1201.6250 1237.0904
197  2005  197    Rice 1098.6140 1198.9792
198  2005  198    Rice 1314.4878 1298.2293
199  2005  199    Rice 1056.3198 1202.8611
200  2005  200    Rice 1188.6292 1222.0123
201  2005  201    Rice 1088.3146 1218.1555
202  2005  202    Rice 1211.4070 1237.8508
203  2005  203    Rice 1224.2378 1232.4123
204  2005  204    Rice 1149.6748 1236.4077
205  2005  205    Rice 1249.1020 1258.8442
206  2005  206    Rice 1080.5322 1213.1601
207  2005  207    Rice 1087.6120 1224.0665
208  2005  208    Rice 1123.9620 1232.3435
209  2005  209    Rice 1101.2376 1221.8920
210  2005  210    Rice 1128.8622 1219.0172
211  2005  211    Rice 1132.0610 1222.1831
212  2005  212    Rice 1573.2941 1344.5259
213  2005  213    Rice 1186.1968 1258.6470
214  2005  214    Rice 1218.7021 1251.2490
215  2005  215    Rice 1186.0757 1256.5355
216  2005  216    Rice 1173.6250 1259.4373
217  2005  217    Rice 1136.0145 1225.7938
218  2005  218    Rice 1178.9735 1252.7354
219  2005  219    Rice 1515.1489 1346.5595
220  2005  220    Rice 1091.4339 1223.1861
221  2005  221    Rice 1229.0792 1247.8242
222  2005  222    Rice 1144.8093 1244.1027
223  2005  223    Rice 1141.1850 1249.0989
224  2005  224    Rice 1105.0968 1220.0626
225  2005  225    Rice 1185.5786 1283.3135
226  2005  226    Rice 1238.1200 1295.4287
227  2005  227    Rice 1119.3158 1211.5109
228  2005  228    Rice 1126.6733 1230.9742
229  2005  229    Rice 1134.6373 1238.4717
230  2005  230    Rice 1151.6632 1262.2810
231  2005  231    Rice 1056.2971 1192.8103
232  2005  232    Rice 1159.4044 1246.1012
233  2005  233    Rice 1404.6304 1354.0676
234  2005  234    Rice 1013.0048 1187.8888
235  2005  235    Rice 1121.2786 1228.4054
236  2005  236    Rice 1118.7405 1230.0770
237  2005  237    Rice 1070.0794 1219.3183
238  2005  238    Rice  935.8477 1147.6963
239  2005  239    Rice 1132.9097 1228.4720
240  2005  240    Rice 1453.1556 1353.3378
241  2005  241    Rice  992.1256 1180.0894
242  2005  242    Rice 1061.9838 1197.8192
243  2005  243    Rice 1009.4844 1194.5827
244  2005  244    Rice 1043.2129 1197.5014
245  2005  245    Rice 1125.8904 1226.8587
246  2005  246    Rice 1039.4947 1211.0949
247  2005  247    Rice 1391.4074 1337.0031
248  2005  248    Rice  970.2692 1176.5635
249  2005  249    Rice 1083.9637 1219.4466
250  2005  250    Rice 1113.3648 1249.4278
251  2005  251    Rice 1012.6228 1189.8646
252  2005  252    Rice 1060.8894 1190.7774
253  2005  253    Rice 1166.6270 1266.0386
254  2005  254    Rice 1387.1389 1339.7593
255  2005  255    Rice 1100.3536 1234.6663
256  2005  256    Rice 1155.5450 1232.6357
257  2005  257    Rice 1073.4330 1231.6580
258  2005  258    Rice 1151.2732 1265.0685
259  2005  259    Rice 1171.6414 1245.0689
260  2005  260    Rice 1132.2680 1251.3986
261  2005  261    Rice 1400.4524 1377.8792
262  2005  262    Rice 1091.4293 1239.6038
263  2005  263    Rice 1149.0778 1206.6946
264  2005  264    Rice 1062.6429 1214.6906
265  2005  265    Rice 1052.2488 1217.2873
266  2005  266    Rice 1187.9760 1248.4670
267  2005  267    Rice 1130.2442 1246.2421
268  2005  268    Rice 1135.7797 1302.2453
269  2005  269    Rice 1116.6806 1225.8903
270  2005  270    Rice 1168.6875 1245.8386
271  2005  271    Rice 1132.0664 1244.4039
272  2005  272    Rice 1255.2548 1275.0662
273  2005  273    Rice 1158.1635 1227.3655
274  2005  274    Rice 1115.8040 1238.2582
275  2005  275    Rice 1270.1875 1315.9576
276  2005  276    Rice 1257.8784 1276.4118
277  2005  277    Rice 1047.3822 1166.8596
278  2005  278    Rice 1056.0977 1212.7097
279  2005  279    Rice 1060.0108 1187.8348
280  2005  280    Rice 1041.5476 1174.9908
281  2005  281    Rice 1101.1545 1236.2469
282  2005  282    Rice 1452.2632 1372.4453
283  2005  283    Rice 1153.6404 1195.7259
284  2005  284    Rice 1211.5444 1272.1902
285  2005  285    Rice 1507.8421 1363.5656
286  2005  286    Rice 1067.1084 1196.3753
287  2005  287    Rice 1099.6050 1189.1942
288  2005  288    Rice 1158.1182 1245.9715
289  2005  289    Rice 1421.6769 1369.8315
290  2005  290    Rice 1081.3043 1216.3759
291  2005  291    Rice 1106.0780 1215.1545
292  2005  292    Rice 1041.6053 1184.6435
293  2005  293    Rice 1188.4612 1253.0936
294  2005  294    Rice 1188.4076 1252.3786
295  2005  295    Rice 1204.0229 1241.1206
296  2005  296    Rice 1177.4600 1319.9789
297  2005  297    Rice 1159.1842 1226.7697
298  2005  298    Rice 1163.5479 1237.4064
299  2005  299    Rice 1133.1295 1201.9126
300  2005  300    Rice 1118.0406 1211.3697
301  2005  301    Rice 1133.6667 1211.1407
302  2005  302    Rice 1264.1620 1256.9286
303  2005  303    Rice 1575.9412 1346.3757
304  2005  304    Rice 1004.1169 1162.1366
305  2005  305    Rice 1250.4821 1316.8306
306  2005  306    Rice  971.8511 1132.3366
307  2005  307    Rice 1174.3796 1228.6858
308  2005  308    Rice 1554.9315 1297.0637
309  2005  309    Rice 1107.4943 1207.5543
310  2005  310    Rice 1140.2537 1249.5972
311  2005  311    Rice 1065.9346 1178.8880
312  2005  312    Rice 1093.9437 1184.4858
313  2005  313    Rice 1084.4369 1214.9351
314  2005  314    Rice 1154.2865 1231.1890
315  2005  315    Rice 1234.1615 1244.3826
316  2005  316    Rice 1275.8832 1263.2325
317  2005  317    Rice 1653.9259 1331.1000
318  2005  318    Rice 1214.1471 1249.8038
319  2005  319    Rice 1284.0179 1239.3416
320  2005  320    Rice 1131.5275 1220.5882
321  2005  321    Rice 1190.4138 1235.9624
322  2005  322    Rice 1200.9206 1244.9699
323  2005  323    Rice 1188.5147 1242.2627
324  2005  324    Rice 1426.2192 1289.4454
325  2005  325    Rice 1071.9820 1192.1615
326  2005  326    Rice 1098.7568 1183.5608
327  2005  327    Rice 1115.5508 1192.6936
328  2005  328    Rice 1101.2663 1196.1065
329  2005  329    Rice 1257.6351 1229.9333
330  2005  330    Rice 1212.7729 1229.7076
331  2005  331    Rice 1352.0308 1287.0455
332  2005  332    Rice 1202.9170 1240.4883
333  2005  333    Rice 1216.5063 1223.1560
334  2005  334    Rice 1272.8509 1247.3984
335  2005  335    Rice 1264.0451 1248.3006
336  2005  336    Rice 1200.6080 1239.2228
337  2005  337    Rice 1234.4206 1246.3474
338  2005  338    Rice 1633.4375 1311.4359
339  2005  339    Rice 1228.9266 1256.2763
340  2005  340    Rice 1141.1250 1210.3509
341  2005  341    Rice 1191.7891 1238.6792
342  2005  342    Rice 1211.8109 1239.8109
343  2005  343    Rice 1223.3651 1230.6643
344  2005  344    Rice 1366.7557 1277.5196
345  2005  345    Rice 1306.7403 1275.2521
346  2005  346    Rice 1203.8811 1226.4912
347  2005  347    Rice 1166.9522 1225.5786
348  2005  348    Rice 1169.4944 1223.2062
349  2005  349    Rice 1220.3266 1237.4955
350  2005  350    Rice 1228.2072 1226.9858
351  2005  351    Rice 1160.3106 1220.0834
352  2005  352    Rice 1294.1316 1249.4230
353  2005  353    Rice 1238.8545 1255.2427
354  2005  354    Rice 1182.0000 1232.6830
355  2005  355    Rice 1230.2417 1238.5842
356  2005  356    Rice 1302.6489 1265.8880
357  2005  357    Rice 1287.7611 1263.4821
358  2005  358    Rice 1299.3223 1253.9815
359  2005  359    Rice 1241.5217 1271.8291
360  2005  360    Rice 1208.6884 1242.6263
361  2005  361    Rice 1190.8155 1232.8082
362  2005  362    Rice 1294.5597 1272.7661
363  2005  363    Rice 1207.5551 1242.8769
364  2005  364    Rice 1295.1144 1265.6533
365  2005  365    Rice 1275.9412 1260.5845
366  2006    1    Rice 1551.1111 1297.8908
367  2006    2    Rice 1333.6295 1271.4119
368  2006    3    Rice 1280.1092 1257.2562
369  2006    4    Rice 1367.0524 1278.6871
370  2006    5    Rice 1400.4396 1295.4945
371  2006    6    Rice 1385.4444 1283.3086
372  2006    7    Rice 1367.9697 1281.3707
373  2006    8    Rice 1375.6977 1305.7926
374  2006    9    Rice 1199.5314 1241.0339
375  2006   10    Rice 1288.3568 1278.8307
376  2006   11    Rice 1473.5091 1299.0122
377  2006   12    Rice 1362.8826 1280.7592
378  2006   13    Rice 1394.0264 1286.8082
379  2006   14    Rice 1452.0571 1319.4276
380  2006   15    Rice 1511.0506 1327.6245
381  2006   16    Rice 1258.7886 1264.8600
382  2006   17    Rice 1241.3546 1238.0200
383  2006   18    Rice 1305.2395 1262.1346
384  2006   19    Rice 1221.2520 1244.8919
385  2006   20    Rice 1257.1515 1244.7372
386  2006   21    Rice 1239.8167 1244.4207
387  2006   22    Rice 1307.2625 1294.0988
388  2006   23    Rice 1236.1150 1225.7684
389  2006   24    Rice 1281.7878 1240.0734
390  2006   25    Rice 1275.6203 1250.3002
391  2006   26    Rice 1107.8272 1199.4053
392  2006   27    Rice 1246.1784 1238.8215
393  2006   28    Rice 1228.6907 1248.4488
394  2006   29    Rice 1177.3974 1250.5567
395  2006   30    Rice 1167.4634 1226.6984
396  2006   31    Rice 1098.3347 1189.6968
397  2006   32    Rice 1335.8600 1275.6031
398  2006   33    Rice 1295.7448 1257.1997
399  2006   34    Rice 1279.3451 1249.0697
400  2006   35    Rice 1231.8471 1242.0614
401  2006   36    Rice 1219.7955 1269.4957
402  2006   37    Rice 1229.0634 1247.9145
403  2006   38    Rice 1305.5039 1242.9587
404  2006   39    Rice 1217.6629 1245.0659
405  2006   40    Rice 1662.5932 1314.9929
406  2006   41    Rice 1291.8659 1246.7315
407  2006   42    Rice 1485.6343 1313.7156
408  2006   43    Rice 1317.8000 1296.3685
409  2006   44    Rice 1196.0717 1233.7898
410  2006   45    Rice 1201.2311 1234.4125
411  2006   46    Rice 1275.0353 1259.5006
412  2006   47    Rice 1277.2143 1250.0794
413  2006   48    Rice 1255.5198 1236.6408
414  2006   49    Rice 1244.3542 1257.7214
415  2006   50    Rice 1405.2688 1279.2260
416  2006   51    Rice 1216.5152 1238.7582
417  2006   52    Rice 1287.4274 1246.4214
418  2006   53    Rice 1293.1843 1263.8902
419  2006   54    Rice 1295.1844 1268.7991
420  2006   55    Rice 1207.4462 1240.4895
421  2006   56    Rice 1240.4937 1255.0125
422  2006   57    Rice 1368.9444 1287.1758
423  2006   58    Rice 1237.2063 1272.9867
424  2006   59    Rice 1236.9802 1244.5468
425  2006   60    Rice 1209.6915 1235.0543
426  2006   61    Rice 1261.7863 1259.1473
427  2006   62    Rice 1277.1232 1246.0214
428  2006   63    Rice 1308.9364 1259.6777
429  2006   64    Rice 1412.2211 1293.4335
430  2006   65    Rice 1233.8125 1243.3494
431  2006   66    Rice 1300.9269 1250.9632
432  2006   67    Rice 1270.0038 1247.2251
433  2006   68    Rice 1242.4837 1245.6719
434  2006   69    Rice 1248.1075 1245.3404
435  2006   70    Rice 1381.7807 1299.5849
436  2006   71    Rice 1431.7333 1310.0882
437  2006   72    Rice 1275.2838 1262.5834
438  2006   73    Rice 1332.4444 1237.9016
439  2006   74    Rice  918.9263 1102.9768
440  2006   75    Rice 1148.9450 1208.7485
441  2006   76    Rice 1187.7579 1233.1433
442  2006   77    Rice 1165.5759 1245.6681
443  2006   78    Rice 1173.9104 1306.1995
444  2006   79    Rice 1228.2277 1266.8650
445  2006   80    Rice 1197.9479 1224.4272
446  2006   81    Rice 1159.4017 1237.2711
447  2006   82    Rice 1146.0596 1230.8847
448  2006   83    Rice 1240.2651 1256.5252
449  2006   84    Rice 1212.3589 1238.8225
450  2006   85    Rice 1485.4533 1334.3781
451  2006   86    Rice 1147.7839 1226.7445
452  2006   87    Rice 1133.0241 1186.6281
453  2006   88    Rice 1181.5443 1226.6190
454  2006   89    Rice 1311.4682 1297.3049
455  2006   90    Rice 1158.2591 1207.2935
456  2006   91    Rice 1163.5023 1228.5617
457  2006   92    Rice 1265.6111 1266.5606
458  2006   93    Rice 1180.5514 1233.5335
459  2006   94    Rice 1250.7711 1235.7957
460  2006   95    Rice 1331.5845 1269.4482
461  2006   96    Rice 1262.1104 1243.6269
462  2006   97    Rice 1307.6849 1262.3337
463  2006   98    Rice 1264.1579 1275.9921
464  2006   99    Rice 1232.5942 1286.9762
465  2006  100    Rice 1125.7851 1222.8215
466  2006  101    Rice 1373.8899 1296.2177
467  2006  102    Rice 1202.0963 1233.4472
468  2006  103    Rice 1229.8474 1260.7696
469  2006  104    Rice 1525.8800 1337.7118
470  2006  105    Rice 1213.1378 1258.4953
471  2006  106    Rice 1269.0000 1309.9292
472  2006  107    Rice 1227.2402 1253.1361
473  2006  108    Rice 1187.6667 1229.9464
474  2006  109    Rice 1223.8333 1255.6150
475  2006  110    Rice 1169.3493 1229.5822
476  2006  111    Rice 1199.2790 1254.6741
477  2006  112    Rice 1277.0599 1268.5150
478  2006  113    Rice 1134.3143 1242.8960
479  2006  114    Rice 1186.7905 1253.3630
480  2006  115    Rice 1239.0957 1248.2696
481  2006  116    Rice 1184.4661 1240.2873
482  2006  117    Rice 1174.4878 1233.6970
483  2006  118    Rice 1107.9103 1205.6518
484  2006  119    Rice 1227.2010 1243.2532
485  2006  120    Rice 1356.9143 1270.1054
486  2006  121    Rice 1356.5580 1300.0269
487  2006  122    Rice 1205.6495 1260.9504
488  2006  123    Rice 1127.7721 1221.8769
489  2006  124    Rice 1160.0221 1232.9636
490  2006  125    Rice 1154.1845 1233.9246
491  2006  126    Rice 1160.8704 1251.2909
492  2006  127    Rice 1221.9634 1267.6121
493  2006  128    Rice 1076.6351 1206.0970
494  2006  129    Rice 1123.9567 1209.1767
495  2006  130    Rice 1097.8388 1215.7467
496  2006  131    Rice 1095.7260 1222.1858
497  2006  132    Rice 1219.7906 1239.3484
498  2006  133    Rice 1290.9919 1322.0895
499  2006  134    Rice 1232.7407 1306.5603
500  2006  135    Rice 1086.3990 1191.3238
501  2006  136    Rice 1164.7315 1223.1038
502  2006  137    Rice 1197.5300 1243.0249
503  2006  138    Rice 1135.3628 1234.4056
504  2006  139    Rice 1175.5514 1221.2954
505  2006  140    Rice 1083.5266 1207.1402
506  2006  141    Rice  981.0423 1179.6329
507  2006  142    Rice 1074.4870 1216.2240
508  2006  143    Rice 1065.9522 1169.4950
509  2006  144    Rice 1168.1067 1222.3971
510  2006  145    Rice 1077.4505 1201.5735
511  2006  146    Rice 1041.3904 1171.7559
512  2006  147    Rice 1008.7857 1177.9484
513  2006  148    Rice 1025.5926 1181.7331
514  2006  149    Rice 1029.7150 1179.2053
515  2006  150    Rice 1025.7387 1144.9021
516  2006  151    Rice 1037.6968 1156.0697
517  2006  152    Rice 1048.1521 1201.1584
518  2006  153    Rice 1041.8347 1158.2308
519  2006  154    Rice 1049.7265 1184.0037
520  2006  155    Rice 1023.7910 1187.2044
521  2006  156    Rice  992.0570 1152.3330
522  2006  157    Rice 1061.2699 1197.4961
523  2006  158    Rice 1056.9497 1209.4385
524  2006  159    Rice 1028.1416 1174.5605
525  2006  160    Rice  994.8271 1171.6393
526  2006  161    Rice 1006.2045 1200.1151
527  2006  162    Rice 1163.2805 1244.0726
528  2006  163    Rice  967.0642 1129.9566
529  2006  164    Rice  980.5139 1168.9275
530  2006  165    Rice 1038.2426 1168.0094
531  2006  166    Rice 1042.8363 1190.5249
532  2006  167    Rice 1059.4095 1173.0953
533  2006  168    Rice 1143.0217 1227.2262
534  2006  169    Rice 1209.2800 1280.5644
535  2006  170    Rice  998.4795 1176.7486
536  2006  171    Rice 1062.8884 1174.8854
537  2006  172    Rice 1092.2920 1206.8701
538  2006  173    Rice 1046.0753 1192.0023
539  2006  174    Rice  947.8028 1139.7019
540  2006  175    Rice 1068.1800 1199.2970
541  2006  176    Rice  814.5147 1123.4709
542  2006  177    Rice  901.7778 1104.1865
543  2006  178    Rice 1039.7273 1187.0711
544  2006  179    Rice 1012.7005 1182.5949
545  2006  180    Rice 1014.6321 1165.2495
546  2006  181    Rice  994.4018 1148.1736
547  2006  182    Rice 1067.0489 1186.7812
548  2006  183    Rice 1120.7568 1239.8156
549  2006  184    Rice  985.8565 1171.2133
550  2006  185    Rice 1085.9231 1213.2163
551  2006  186    Rice 1045.7246 1203.5769
552  2006  187    Rice 1067.8705 1217.9927
553  2006  188    Rice 1065.9494 1200.5611
554  2006  189    Rice  994.1040 1203.0714
555  2006  190    Rice 1117.7534 1248.3165
556  2006  191    Rice  968.1447 1142.2686
557  2006  192    Rice 1014.6829 1166.7543
558  2006  193    Rice  976.7446 1159.0065
559  2006  194    Rice 1029.8261 1188.7017
560  2006  195    Rice  979.6069 1152.6416
561  2006  196    Rice  928.8858 1131.3507
562  2006  197    Rice 1040.7143 1218.8067
563  2006  198    Rice  914.6622 1133.1300
564  2006  199    Rice  960.7071 1151.9250
565  2006  200    Rice  937.1111 1140.3733
566  2006  201    Rice  979.3640 1135.3008
567  2006  202    Rice  880.6250 1087.2367
568  2006  203    Rice  947.7950 1123.9207
569  2006  204    Rice  981.1605 1177.7304
570  2006  205    Rice  912.0124 1117.1306
571  2006  206    Rice  927.6746 1111.4844
572  2006  207    Rice  894.6531 1105.6285
573  2006  208    Rice  899.7807 1107.9352
574  2006  209    Rice  932.2500 1114.7182
575  2006  210    Rice  927.9498 1103.5848
576  2006  211    Rice 1103.2769 1212.5672
577  2006  212    Rice  938.7966 1113.7705
578  2006  213    Rice 1005.0383 1159.4470
579  2006  214    Rice  935.1953 1136.8779
580  2006  215    Rice  926.0112 1126.8349
581  2006  216    Rice  949.0576 1128.2974
582  2006  217    Rice  859.4737 1076.6603
583  2006  218    Rice  970.7320 1134.1524
584  2006  219    Rice  908.1967 1081.5449
585  2006  220    Rice  962.0840 1128.0097
586  2006  221    Rice  905.9387 1115.2153
587  2006  222    Rice  926.1713 1131.9867
588  2006  223    Rice  957.4087 1138.5615
589  2006  224    Rice  986.7101 1177.5756
590  2006  225    Rice  985.1860 1197.4853
591  2006  226    Rice  960.5291 1125.3308
592  2006  227    Rice  868.3816 1138.6672
593  2006  228    Rice 1001.1192 1178.8164
594  2006  229    Rice  969.4393 1145.1352
595  2006  230    Rice  914.5133 1100.1911
596  2006  231    Rice  934.0644 1120.1630
597  2006  232    Rice  938.6941 1168.4369
598  2006  233    Rice  937.1686 1112.4953
599  2006  234    Rice  850.3582 1071.5986
600  2006  235    Rice  850.6554 1082.8759
601  2006  236    Rice  854.6545 1079.2694
602  2006  237    Rice  843.8780 1063.0395
603  2006  238    Rice  767.2954 1040.2848
