,city counts of 0.2 cutoff rate,city ounts of 0.3 cutoff rate,ValidCityCounts,AverageNArate,Agartala,Agra,Ahmedabad,Ahmedapur,Aizwal,Aligarh,Allahabad,Amritsar,Asansol,Aurangabad,Balichak,Bangalore,Bankura,Basiwrhat,Belda,Bethuadahari,Bhatinda,Bhawani,Bhawanipatna,Bhillai,Bhopal,Bhubneshwar,Bijapur,Bishalgarh,Burdwan,Chandigarh,Chennai,Chittoor,Coimbatore,Contai,Cuddalore,Cuttack,Dausa,Delhi,Dhanbad,Dibrugarh,Dispur,Ernakulam,Gandhi Nagar,Gangavathi,Gangtok,Gaya,Gonda,Gorakhpur,Guntur,Guwahati,Hajipur,Hardoi,Hissar,Howrah,Hubli,Hyderabad,Imphal,Indus,Itanagar,Jaipur,Jalgaon,Jalpaiguri,Jammu,Jamnagar,Jodhpur,Kaithal,Kanpur,Karnal,Katwa,Khozhikode,Kohima,Kolhapur,Kolkata,Krishnagar,Kurnool,Lucknow,Ludhiana,Madurai,Mainpuiri,Malda,Mandi,Melaghat,Mirzapur,Mogra,Mumbai,Muradnagar,Muzaffarnagar,Muzaffarpur,NR,Nagpur,Nasik,Nedumangad,Palghat,Panaji,Patna,Philibhit,Pondicherry,Portblair,Pune,Purulia,Rajkot,Ranchi,Rewa,Saharanpur,Salem,Sehore,Shillong,Shimla,Shrinagar,Sonipet,Srinagar,Surat,Suri,Swaimadhopur,Tambram,Tiruchirapalli,Tirunelveli,Trivandrum,Tumkur,Udaipur,Vadodra,Vellore,Vishakhapatnam
"('Atta', 'FAQ')",27,36,81,0.425061728,0.22,0.47,,,0.17,,0.19,0.24,0.53,,,0.59,,,,,0.35,,0.87,0.78,0.07,0.05,0.47,,,0.86,0.16,0.07,0.14,,,0.59,0.1,0.05,0.27,0.45,0.71,0.12,0.25,,0.97,0.98,,0.07,0.58,0.56,0.95,,0.15,0.71,0.1,0.2,0.41,,0.45,0.33,,0.53,0.13,,0.07,,0.42,0.2,,0.02,0.32,,0.27,,0.09,0.02,0.09,0.42,,0.61,0.31,,,,0.08,,,0.98,0.99,0.72,0.75,,,0.09,0.04,,0.84,0.11,0.97,,0.96,0.03,0.77,0.42,0.19,0.6,0.04,0.76,0.83,,0.94,0.77,,0.41,0.97,,0.67,0.23,0.32,0.27,0.76,,0.19
"('Brinjal', 'FAQ')",27,36,82,0.432317073,0.23,0.47,,,0.19,,0.2,0.26,0.32,0.79,,0.6,,,,,0.37,,0.89,0.78,0.09,0.07,0.47,,0.99,0.85,0.19,0.08,0.15,,,0.59,0.11,0.06,0.29,0.45,0.73,0.1,0.27,,0.97,0.98,,0.1,0.07,0.57,0.95,,0.17,0.71,0.67,0.15,0.42,,0.46,0.34,,0.61,0.15,,0.09,,0.43,0.22,,0.04,0.34,,0.28,,0.09,0.06,0.11,0.43,,0.62,0.35,,,,0.09,,,0.98,,0.71,0.75,,,0.12,0.07,,0.84,0.12,0.97,,0.96,0.06,0.77,0.43,0.22,0.6,0.05,0.76,0.83,,0.94,0.77,,0.43,0.97,,0.68,0.08,0.34,0.28,0.56,,0.1
"('Rice', 'Fine')",27,33,89,0.476966292,0.21,0.39,,,0.18,,0.18,0.62,0.29,0.79,0.99,0.57,,0.98,,0.99,0.35,,0.89,0.78,0.07,0.04,0.47,,,0.87,0.51,0.07,0.13,,,0.59,0.09,0.44,0.27,0.44,0.71,0.08,0.26,,0.97,0.98,,0.07,0.07,0.56,0.95,,0.15,0.71,0.1,0.16,0.44,,0.45,0.15,,0.52,0.13,,0.07,,0.47,0.2,,0.02,0.31,0.99,0.39,0.99,0.7,0.02,0.09,0.6,,0.61,0.32,,,0.98,0.02,,0.99,0.98,,0.69,0.75,,,0.09,0.04,,0.84,0.1,0.97,0.98,0.96,0.03,0.77,0.42,0.17,0.6,0.03,0.75,0.84,,0.94,0.77,,0.41,0.97,,0.34,0.34,0.32,0.27,0.56,,0.09
"('Banana', 'FAQ')",26,36,81,0.434938272,0.25,0.5,,,0.19,,0.2,0.27,0.54,0.79,,0.52,,,,,0.39,,0.89,0.78,0.09,0.07,0.48,,,0.85,0.14,0.1,0.2,,,0.6,0.13,0.08,0.29,0.47,0.73,0.1,0.28,,0.97,0.98,,0.14,0.1,0.56,0.94,,0.17,0.73,0.38,0.18,0.45,,0.46,0.3,,0.85,0.15,,0.11,,0.45,0.25,,0.05,0.35,,0.24,,0.19,0.06,0.11,0.49,,0.62,0.38,,,,0.1,,,0.98,,0.72,0.75,,,0.11,0.08,,0.84,0.14,0.97,,0.96,0.08,0.77,0.44,0.28,0.61,0.06,0.75,0.83,,0.94,0.77,,0.43,0.97,,0.67,0.06,0.35,0.29,0.56,,0.13
"('Suji', ' ')",26,35,81,0.430617284,0.22,0.46,,,0.18,,0.19,0.24,0.53,,,0.59,,,,,0.35,,0.87,0.78,0.07,0.05,0.47,,,0.86,0.16,0.07,0.14,,,0.59,0.09,0.43,0.27,0.46,0.71,0.08,0.26,,0.97,0.98,,0.07,0.58,0.56,0.95,,0.15,0.71,0.1,0.2,0.68,,0.46,0.33,,0.53,0.13,,0.07,,0.42,0.2,,0.03,0.33,,0.28,,0.09,0.02,0.09,0.42,,0.61,0.34,,,,0.07,,,0.98,0.99,0.72,0.75,,,0.09,0.04,,0.84,0.11,0.97,,0.96,0.03,0.77,0.42,0.18,0.6,0.13,0.75,0.83,,0.94,0.77,,0.41,0.97,,0.67,0.23,0.32,0.27,0.56,,0.09
"('Maida', ' ')",26,35,88,0.473295455,0.23,0.47,,,0.19,0.97,0.2,0.23,0.53,0.93,,0.56,,,,,0.35,,0.87,0.78,0.08,0.06,0.47,,,0.86,0.17,0.07,0.13,,,0.59,0.1,0.41,0.27,0.46,0.71,0.09,0.26,,0.97,0.98,0.99,0.08,0.58,0.57,0.95,0.99,0.16,0.71,0.12,0.18,0.43,,0.46,0.33,,0.53,0.13,,0.08,,0.42,0.2,,0.03,0.34,,0.29,,0.09,0.03,0.1,0.42,0.96,0.61,0.48,,0.98,,0.11,,0.99,0.98,,0.72,0.74,,,0.1,0.05,,0.84,0.12,0.97,,0.96,0.04,0.77,0.42,0.18,0.6,0.13,0.75,0.83,0.99,0.84,0.77,,0.41,0.97,,0.67,0.22,0.33,0.27,0.56,,0.09
"('Eggs', ' ')",26,34,82,0.449634146,0.23,0.47,,,0.18,0.98,0.2,0.33,0.53,0.79,,0.42,,,,,0.36,,0.95,0.78,0.09,0.07,0.47,,,0.86,0.12,0.08,0.16,,,0.59,0.12,0.05,0.28,0.46,0.73,0.19,0.27,,0.97,0.98,,0.09,0.6,0.57,0.97,,0.17,0.71,0.99,0.15,0.93,,0.45,0.32,,0.54,0.15,,0.29,,0.43,0.21,,0.03,0.32,,0.2,,0.1,0.04,0.13,0.42,,0.62,0.34,,,,0.11,,,0.98,,0.7,0.75,,,0.11,0.06,,0.84,0.12,0.97,,0.96,0.06,0.77,0.45,0.19,0.6,0.05,0.76,0.83,,0.84,0.78,,0.42,0.97,,0.67,0.06,0.4,0.27,0.56,,0.11
"('Chicken', 'Poultry')",26,33,82,0.456097561,0.22,0.59,,,0.18,0.98,0.18,0.24,0.29,0.85,,0.37,,,,,0.58,,0.87,0.78,0.07,0.05,0.47,,,0.86,0.12,0.07,0.15,,,0.59,0.11,0.07,0.95,0.45,0.72,0.62,0.26,,0.97,0.98,,0.09,0.59,0.56,0.97,,0.16,0.72,0.99,0.14,0.43,,0.45,0.34,,0.54,0.13,,0.53,,0.43,0.28,,0.04,0.31,,0.2,,0.09,0.04,0.1,0.41,,0.63,0.34,,,,0.11,,,0.98,,0.69,0.55,,,0.11,0.04,,0.84,0.12,0.97,,0.96,0.04,0.77,0.42,0.18,0.6,0.03,0.83,0.83,,0.94,0.77,,0.41,0.97,,0.67,0.05,0.42,0.28,0.56,,0.11
"('Wheat', 'Kalyan HYV')",26,32,77,0.472987013,,0.33,,,0.99,,0.21,0.23,0.52,0.79,,0.08,,,,,0.35,,0.89,0.78,0.09,0.09,0.47,,,0.98,0.17,0.09,0.13,,,0.59,0.14,0.02,0.27,,0.8,0.08,0.21,,0.99,0.98,,0.12,0.07,0.94,0.95,,0.17,0.84,0.14,0.3,0.98,,,0.13,,0.99,0.13,,0.11,,0.43,0.2,,0.06,0.98,,0.33,,0.18,0.02,0.1,0.43,,0.62,0.99,,,,0.06,,,0.98,,0.73,0.57,,,0.13,0.08,,0.84,0.95,0.97,,0.96,0.03,0.78,0.42,0.18,0.6,0.56,0.76,,,0.88,0.77,,0.41,0.97,,0.69,0.09,0.36,0.29,0.56,,0.32
"('Salt', 'Packet(iodized)')",25,34,81,0.427654321,0.22,0.48,,,0.19,,0.2,0.24,0.33,0.85,,0.59,,,,,0.39,,0.89,0.78,0.08,0.05,0.47,,,0.98,0.28,0.08,0.14,,,0.59,0.1,0.11,0.48,0.55,0.71,0.08,0.26,,0.97,0.98,,0.08,0.07,0.56,0.95,,0.16,0.71,0.36,0.18,0.43,,0.45,0.34,,0.53,0.13,,0.07,,0.42,0.2,,0.03,0.32,,0.28,,0.09,0.02,0.1,0.42,,0.61,0.32,,,,0.09,,,0.98,,0.7,0.75,,,0.1,0.05,,0.84,0.11,0.97,,0.96,0.04,0.77,0.42,0.35,0.61,0.13,0.75,0.83,,0.94,0.77,,0.41,0.97,,0.67,0.27,0.34,0.27,0.56,,0.09
"('Turmeric', 'Powdered Agmark')",25,33,81,0.427901235,0.22,0.46,,,0.17,,0.2,0.35,0.34,0.85,,0.6,,,,,0.44,,0.89,0.78,0.07,0.05,0.47,,,0.86,0.17,0.07,0.15,,,0.59,0.1,0.09,0.34,0.45,0.71,0.08,0.26,,0.97,0.98,,0.08,0.09,0.57,0.97,,0.36,0.71,0.36,0.18,0.43,,0.67,0.34,,0.53,0.13,,0.07,,0.42,0.2,,0.03,0.32,,0.28,,0.1,0.02,0.1,0.42,,0.61,0.33,,,,0.27,,,0.98,,0.7,0.75,,,0.1,0.04,,0.84,0.11,0.97,,0.96,0.04,0.77,0.42,0.18,0.6,0.08,0.75,0.83,,0.94,0.77,,0.41,0.97,,0.67,0.23,0.33,0.27,0.56,,0.09
"('Milk', 'Cow/Buffalo')",25,33,83,0.45060241,0.22,0.46,,,0.17,0.98,0.18,0.24,0.34,0.79,,0.54,,,,,0.37,,0.87,0.78,0.07,0.05,0.47,,,0.85,0.14,0.12,0.15,,,0.59,0.1,0.16,0.36,0.45,0.71,0.08,0.26,,0.97,0.98,,0.08,0.59,0.57,0.97,,0.16,0.71,0.98,0.18,0.42,,0.45,0.22,,0.54,0.13,,0.08,,0.42,0.2,,0.03,0.31,,0.31,,0.1,0.02,0.23,0.42,,0.64,0.32,,,,0.17,0.99,,0.98,,0.7,0.75,,,0.31,0.04,,0.84,0.1,0.97,,0.96,0.05,0.77,0.42,0.28,0.6,0.16,0.75,0.83,,0.94,0.77,,0.41,0.97,,0.67,0.18,0.33,0.28,0.56,,0.09
"('Red', ' ')",25,32,81,0.432716049,0.22,0.46,,,0.17,,0.2,0.37,0.33,0.85,,0.61,,,,,0.46,,0.89,0.78,0.07,0.05,0.47,,,0.86,0.17,0.07,0.15,,,0.59,0.1,0.1,0.7,0.45,0.71,0.08,0.26,,0.97,0.98,,0.08,0.18,0.57,0.97,,0.36,0.71,0.36,0.18,0.43,,0.47,0.34,,0.53,0.13,,0.07,,0.42,0.2,,0.03,0.32,,0.28,,0.1,0.02,0.1,0.42,,0.62,0.32,,,,0.5,,,0.98,,0.71,0.75,,,0.1,0.04,,0.84,0.11,0.97,,0.96,0.04,0.77,0.42,0.18,0.6,0.03,0.75,0.83,,0.84,0.77,,0.41,0.97,,0.67,0.22,0.33,0.27,0.56,,0.1
"('Gram', 'Whole')",23,34,88,0.482386364,0.26,0.46,,,0.17,0.98,0.19,0.24,0.32,0.82,,0.26,,,,,0.37,,0.88,0.78,0.06,0.05,0.48,,,0.85,0.68,0.14,0.16,,,0.6,0.1,0.02,0.27,0.56,0.71,0.09,0.21,,0.97,0.98,0.99,0.08,0.58,0.56,0.95,0.99,0.16,0.71,0.11,0.21,0.45,,0.48,0.13,,0.53,0.16,,0.07,,0.42,0.2,,0.04,0.33,,0.27,,0.09,0.02,0.09,0.69,,0.61,0.32,,0.98,,0.26,,0.99,0.98,1,0.69,0.57,,,0.3,0.04,0.98,0.84,0.11,0.97,,0.96,0.04,0.77,0.42,0.44,0.6,0.9,0.76,0.84,,0.83,0.77,,0.41,0.97,,0.67,0.22,0.32,0.27,0.56,,0.09
"('Gur', 'Local')",22,37,89,0.47752809,0.29,0.47,,,0.19,0.97,0.2,0.24,0.31,0.79,,0.29,,,,,0.42,,0.89,0.78,0.15,0.06,0.5,,,0.86,0.23,0.2,0.24,0.98,,0.5,0.11,0.15,0.29,0.45,0.71,0.1,0.26,,0.98,0.98,0.99,0.09,0.22,0.57,0.95,,0.17,0.73,0.38,0.15,0.48,,0.46,0.31,,0.55,0.14,0.97,0.1,,0.42,0.2,,0.05,0.33,,0.29,,0.16,0.03,0.11,0.49,0.97,0.63,0.47,,,,0.09,,0.99,0.98,,0.71,0.75,,,0.11,0.05,0.98,0.84,0.13,0.97,,0.96,0.07,0.77,0.42,0.26,0.6,0.08,0.75,0.83,,0.85,0.77,,0.41,0.97,,0.67,0.24,0.34,0.27,0.56,0.99,0.09
"('Ghee', 'Desi')",22,31,82,0.471219512,0.22,0.46,,,0.38,,0.18,0.24,0.35,0.79,,0.78,,,,,0.35,,0.87,0.78,0.07,0.05,0.47,,,0.85,0.16,0.07,0.14,,,0.59,0.1,0.21,0.27,0.52,0.71,0.33,0.26,,0.97,0.98,,0.08,0.56,0.57,0.97,,0.16,0.71,0.84,0.15,0.89,,0.78,0.34,,0.53,0.31,,0.07,,0.42,0.21,,0.03,0.84,,0.27,,0.09,0.02,0.1,0.42,,0.61,0.46,,,,0.13,1,,0.98,,0.78,0.75,,,0.1,0.04,,0.84,0.17,0.97,,0.96,0.25,0.77,0.42,0.18,0.6,0.04,0.75,0.97,,0.95,0.78,,0.41,0.97,,0.67,0.33,0.33,0.27,0.56,,0.09
"('Masur', 'Split')",22,31,84,0.48202381,0.22,0.46,,,0.17,,0.22,0.23,0.3,0.79,,0.27,,,,,0.35,,0.88,0.78,0.06,0.05,0.47,,,0.86,0.57,0.98,0.49,,,0.6,0.1,0.03,0.27,0.49,0.71,0.08,0.25,,0.98,0.98,,0.08,0.58,0.56,0.95,,0.15,0.71,0.16,0.04,0.43,,0.46,0.33,,0.53,0.14,,0.08,,0.42,0.2,,0.95,0.33,,0.27,,0.14,0.03,0.1,0.5,,0.61,0.33,,0.98,,0.03,,,0.98,1,0.69,0.75,,,0.1,0.04,0.98,0.84,0.1,0.97,,0.96,0.05,0.77,0.42,0.96,0.6,0.03,0.76,0.83,,0.94,0.77,,0.41,0.99,,0.72,0.33,0.84,0.27,0.56,,0.1
"('Coriander', 'Powdered Agmark')",22,30,81,0.45,0.22,0.47,,,0.17,,0.2,0.35,0.55,0.99,,0.6,,,,,0.41,,0.89,0.78,0.07,0.05,0.47,,,0.87,0.17,0.07,0.27,,,0.59,0.1,0.18,0.32,0.45,0.71,0.08,0.26,,0.97,0.98,,0.08,0.58,0.56,0.97,,0.33,0.71,0.36,0.17,0.42,,0.8,0.34,,0.54,0.13,,0.08,,0.42,0.36,,0.03,0.32,,0.28,,0.2,0.02,0.1,0.42,,0.61,0.32,,,,0.7,,,0.98,,0.71,0.75,,,0.1,0.04,,0.84,0.12,0.97,,0.96,0.04,0.77,0.42,0.18,0.6,0.03,0.75,0.87,,0.94,0.77,,0.41,0.97,,0.67,0.21,0.33,0.27,0.56,,0.1
"('Cummin', ' ')",22,30,81,0.471111111,0.22,0.46,,,0.35,,0.2,0.52,0.52,,,0.47,,,,,0.4,,0.89,0.78,0.07,0.05,0.78,,,0.88,0.15,0.07,0.76,,,0.59,0.1,0.31,0.27,0.47,0.71,0.08,0.26,,0.97,0.98,,0.08,0.56,0.59,0.97,,0.15,0.71,0.36,0.15,0.42,,0.91,0.25,,0.54,0.13,,0.08,,0.43,0.21,,0.03,0.85,,0.28,,0.3,0.02,0.15,0.42,,0.61,0.32,,,,0.82,,,0.98,0.99,0.71,0.75,,,0.1,0.04,,0.84,0.14,0.97,,0.96,0.04,0.77,0.42,0.18,0.6,0.14,0.75,0.95,,0.94,0.77,,0.41,0.97,,0.67,0.16,0.33,0.27,0.56,,0.1
"('Mustard', ' ')",22,30,86,0.488372093,0.22,0.46,,,0.17,0.98,0.19,0.26,0.31,0.85,,0.62,,,,,0.35,,0.88,0.78,0.05,0.04,0.67,,,0.86,0.54,0.8,0.66,0.98,,0.59,0.1,0.02,0.27,0.47,0.73,0.08,0.21,,0.97,0.98,,0.08,0.96,0.56,0.95,,0.16,0.71,0.36,0.05,0.45,,0.46,0.1,,0.54,0.14,0.99,0.1,,0.42,0.2,,0.02,0.33,,0.26,,0.32,0.02,0.1,0.42,,0.61,0.35,,0.98,,0.5,,,0.98,1,0.71,0.41,,,0.21,0.04,,0.86,0.1,0.97,,0.96,0.06,0.77,0.42,0.96,0.61,0.05,0.75,0.83,,0.83,0.77,,0.42,0.98,,0.71,0.1,0.33,0.27,0.56,,0.11
"('Besan', ' ')",21,32,82,0.47304878,0.31,0.46,,,0.24,,0.19,0.24,0.54,0.85,,0.96,,,,,0.37,,0.88,0.78,0.07,0.08,0.47,,,0.87,0.7,0.07,0.14,,,0.59,0.1,0.36,0.27,0.48,0.72,0.09,0.26,,0.97,0.98,,0.07,0.58,0.56,0.95,,0.15,0.71,0.29,0.22,0.48,,0.45,0.33,,0.53,0.13,0.97,0.07,,0.42,0.21,,0.05,0.96,,0.27,,0.09,0.02,0.1,0.43,,0.61,0.33,,,,0.24,,,0.98,,0.69,0.74,,,0.12,0.05,,0.84,0.1,0.97,,0.96,0.05,0.77,0.42,0.77,0.61,0.13,0.76,0.87,,0.83,0.77,,0.41,0.99,,0.72,0.23,0.83,0.27,0.56,,0.09
