-- PASTED DIRECTLY FROM http://en.wikipedia.org/wiki/List_of_cities_and_towns_in_India --
Achabal 	Jammu and Kashmir 	N.A.C 	5,834 	
Bahraich 	Uttar Pradesh 		168,376 	
Bairgania 	Bihar 	N.A 	34,836 	
Bakhtiarpur 	Bihar 	N.A 	32,293 	
Balaghat 	Madhya Pradesh 	M 	75,061 	
Balangir 	Odisha 	M 	85,261 	
Balasore 	Odisha 			
Baleshwar 	Odisha 	UA 	156,430 	177,557
Bawana 	Delhi 	UA 	23,095 	
Bhiwadi 	Rajasthan 			
Bali 	Rajasthan 			
Bally 	West Bengal 			
Ballabhgarh 	Haryana 			
Ballia 	Uttar Pradesh 			
Balod 	Chhattisgarh 	N.P 	21,165 	
Baloda Bazar 	Chhattisgarh 	N.P 	22,853 	
Balrampur 	Uttar Pradesh 			
Balurghat 	West Bengal 			
Bamra 	Odisha 			
Bandar 	Uttar Pradesh 			
Bandikui 	Rajasthan 			
Bandipore 	Jammu and Kashmir 	N.A.C 	25,795 	25,714
Bangalore 	Karnataka 	MB 	93,410 	
Banganapalle 	Andhra Pradesh 			
Banka 	Bihar 	M 	35,455 	
Banmankhi Bazar 	Bihar 	N.A 	25,187 	
Banswara 	Rajasthan 			
Bankura 	West Bengal 		219,255 	
Bapatla 	Andhra Pradesh 	M 	68,397 	
Barakar 	West Bengal 			
Barahiya 	Bihar 	M 	39,865 	
Baramati 	Maharashtra 			
Baramula 	Jammu and Kashmir 	UA 	78,986 	167,986
Baran 	Rajasthan 			
Barasat 	West Bengal 			
Bardhaman 	West Bengal 			
Barauli 	Bihar 	N.A 	34,653 	
Barbigha 	Bihar 	N.A 	38,200 	
Bareilly 	Uttar Pradesh 			
Barughutu 	Jharkhand 	C.T 	21, 092 	
Basna 	Chhattisgarh 			
Barbil 	Odisha 	M 	52,627 	
Bargarh 	Odisha 	M 	63,678 	
Barh 	Bihar 	M 	48,442 	
Baripada 	Odisha 	UA 	100,651 	116,874
Barmer 	Rajasthan 			
Barnala 	Punjab 	M.Cl 	96,624 	
Barpeta 	Assam 	M.B 	41,038 	
Barpeta Road 	Assam 	M.B 	35,725 	
Barrackpur 	West Bengal 			
Barwani 	Madhya Pradesh 			
Barwala 	Haryana 	M.C 	33,132 	
Basavan Bagevadi 	Karnataka 	T.P. 	33,132 	
Basudebpur 	Odisha 	N.A.C 	30,006 	
Batala 	Punjab 	UA 	147,872 	
Bathinda 	Punjab 	M.Cl 	217,256 	
Bawal 	Haryana 			
Bazpur 	Uttarakhand 	M.B 	21,792 	
Beawar 	Rajasthan 			
Begusarai 	Bihar 	M.Corp. 	107,623 	
Behea 	Bihar 	N.A 	20,741 	
Belgaum 	Karnataka 	M.Corp. 	876,523 	
Bellampalle 	Andhra Pradesh 	M 	66,792 	
Ballary 	Karnataka 			
Belpahar 	Odisha 	N.A.C 	32,826 	
Bemetra 	Chhattisgarh 	N.P 	23,315 	
Berinag 	Uttarakhand 			
Bethamcherla 	Andhra Pradesh 	C.T 	30,973 	
Bettiah 	Bihar 	M 	116,670 	
Betul 	Madhya Pradesh 			
Bhabua 	Bihar 	M 	41,755 	
Bhadrachalam 	Andhra Pradesh 	C.T 	42,650 	
Bhadrak 	Odisha 	M 	92,515 	107,369
Bhagalpur 	Bihar 	M.Corp. 	350,133 	
Bhagha Purana 	Punjab 	N.P 	21,596 	
Bhainsa 	Andhra Pradesh 	N.P 	41,331 	
Bhajanpura 	Delhi 			
Bhandara 	Maharashtra 			
Bharatpur 	Rajasthan 			
Bharthana 	Uttar Pradesh 			
Bharuch 	Gujarat 		148,140 	
Bhatapara 	Chhattisgarh 	M 	50,118 	
Bhavani 	Tamil Nadu 			
Bhavnagar 	Gujarat 	UA 	606,282 	
Bhawanipatna 	Odisha 	M 	60,787 	
Bheemunipatnam 	Andhra Pradesh 	UA 	48,664 	
Bhilai 	Chhattisgarh 			
Bhilwara 	Rajasthan 			
Bhimavaram 	Andhra Pradesh 	UA 	142,064 	
Bhinmal 	Rajasthan 			
Bhiwandi 	Maharashtra 			
Bhiwani 	Haryana 	M. Cl 	169,531 	
Bhongir 	Andhra Pradesh 	M 	50,407 	
Bhopal 	Madhya Pradesh 	M.Corp. 	5,785,245 	
Bhuban 	Odisha 	N.A.C 	20,234 	
Bhubaneswar* 	Odisha 	UA 	658,220 	881,988
Bhuj 	Gujarat 		136,429 	
Bhusawal 	Maharashtra 			
Bidar 	Karnataka 			
Bidhan Nagar 	West Bengal 			
Bihar Sharif 	Bihar 	M.Corp. 	232,071 	
Bijapur 	Karnataka 	M.Corp. 		
Bijbehara 	Jammu and Kashmir 	UA 	13,986 	
Bijnor 	Uttar Pradesh 			
Bikaner 	Rajasthan 			
Bikramganj 	Bihar 	N.A 	38,408 	
Bilara 	Rajasthan 			
Bilasipara 	Assam 	T.C 	31,171 	
Bilaspur 	Chhattisgarh 	UA 	335,293 	
Bilaspur 	Himachal Pradesh 			
Biramitrapur 	Odisha 	M 	29,447 	
Birgaon 	Chhattisgarh 	C.T 	23,562 	
Bobbili 	Andhra Pradesh 	M 	50,096 	
Bodhan 	Andhra Pradesh 	M 	71,520 	
Bodh Gaya 	Bihar 	N.A 	30,857 	
Bokaro Steel City 	Jharkhand 	UA 	497,780 	564,417
Bongaigaon City 	Assam 	UA 	83,592 	1,09,815
Bomdila 	Arunachal Pradesh 			
Brahmapur 	Odisha 	UA 		355,823
Brajrajnagar 	Odisha 	M 	76,959 	
Budaun 	Uttar Pradesh 			
Budhlada 	Punjab 	M.Cl 	23,521 	
Bulandshahr 	Uttar Pradesh 			
Burhanpur 	Madhya Pradesh 			
Burla 	Odisha 			
Buxar 	Bihar 	M 	83,168 	
Byasanagar 	Odisha 	UA 	40,741 	
C
TIDEL Park, Chennai
Coimbatore
Chhatarpur, Madhya Pradesh
Chirala in Andhra Pradesh
Chitradurga fort, Karnataka
Barabati fort at Cuttack
Name of City/Town 	Name of State 	Classification 	Population (2001)
[[]] 	Gujarat 		93,197
Chadchan 	Karnataka 	T.P. 	23,648
Chaibasa 	Jharkhand 	M 	63,648
Chakeri 	Uttar Pradesh 		
Chakradharpur 	Jharkhand 	UA 	55,228
Chalisgaon 	Maharashtra 		
Chamba 	Himachal Pradesh 	M Cl 	20,327
Chamba 	Uttarakhand 		
Champa 	Chhattisgarh 	M 	37,951
Champawat 	Uttarakhand 		
Champhai 	Mizoram 	N.T 	26,465
Chamarajanagara 	Karnataka 		
Chandigarh-The Beautiful City* 	Chandigarh 	M. C 	808,515
Chandil 	Jharkhand 		
Chandauli 	Uttar Pradesh 		
Chandausi 	Uttar Pradesh 		
Chandrapura 	Jharkhand 	C.T 	22,396
Chanpatia 	Bihar 	N.A 	22,038
Charkhi Dadri 	Haryana 	M.C 	44,895
Chapirevula 	Andhra Pradesh 		
Chatra 	Jharkhand 	M 	42,020
Charkhari 	Uttar Pradesh 		
Chalakudy 	Kerala 	M 	48,380
Chandrapur 	Maharashtra 		
Changanassery 	Kerala 	M 	51,967
Cheeka 	Haryana 	M.C 	32,128
Chendamangalam 	Kerala 	C.T 	28,147
Chengalpattu 	Tamil Nadu 		
Chengannur 	Kerala 	M 	25,397
Chennai* 	Tamil Nadu 		12,252,181
Cherthala 	Kerala 	UA 	141,558
Cheruthazham 	Kerala 	C.T 	26,239
Chhapra 	Bihar 	M 	179,190
Chhatarpur 	Madhya Pradesh 	N.A.C 	20,289
Chhindwara 	Madhya Pradesh 		
Chikkodi 	Karnataka 	T.M.C 	32,820
Chikkamagalur 	Karnataka 		
Chilakaluripet 	Andhra Pradesh 	M 	91,656
Chinchani 	Maharashtra 	C.T. 	13,435
Chinna salem 	Tamil nadu 	T.P 	35,000
Chinthaamani 	Karnataka 		
Chiplun 	Maharashtra 		
Chirala 	Andhra Pradesh 	UA 	166,294
Chirkunda 	Jharkhand 	UA 	106,227
Chirmiri 	Chhattisgarh 	UA 	93,373
Chinsura 	West Bengal 		106,227
Chitradurga 	Karnataka 		
Chittur-Thathamangalam 	Kerala 	UA 	67,935
Chitrakoot 	Madhya Pradesh 		
Chittoor 	Andhra Pradesh 	M 	152,654
Chockli 	Kerala 	C.T 	31,772
Churi 	Jharkhand 	C.T 	25,222
Churu 	Rajasthan 		
Coimbatore 	Tamil Nadu 	M.Corp 	930,882
Colgong 	Bihar 	M 	22,049
Contai 	West Bengal 		
Cooch Behar 	West Bengal 		
Coonoor 	Tamil Nadu 		
Cuddalore 	Tamil Nadu 		
Cuddapah 	Andhra Pradesh 	UA 	262,506
Curchorem Cacora 	Goa 	M.Cl 	21,407
Cuttack 	Odisha 	UA 	587,182
Chikkaballapura 	Karnataka 		
Chandan Bara 	Bihar 	M 	16,049
Chaukori 	Uttarakhand 	M 	16,049
D
A train, hauled by a steam locomotive, running beside a road between two rows of buildings with a few people walking on the road.
The "Toy Train" approaching Darjeeling, West Bengal
F.R.I., Dehradun
Dindigul, Tamil Nadu
Republic Day celebrations at Nehru Stadium, Durgapur, West Bengal.
Name of City/Town 	Name of State 	Classification 	Population (2001)
Dabra 	Madhya Pradesh 		
Dadri 	Uttar Pradesh 		
Dahod 	Gujarat 		79,185
Dalhousie 	Himachal Pradesh 		
Dalkhola 	West Bengal 		
Dalli-Rajhara 	Chhattisgarh 	UA 	57,058
Dalsinghsarai 	Bihar 	N.A 	20,196
Daltonganj 	Jharkhand 	M 	71,422
Daman and Diu 	Daman and Diu 	M.Cl 	35,770
Damoh 	Madhya Pradesh 		
Darbhanga 	Bihar 	M.Corp. 	267,348
Darjeeling 	West Bengal 		
Dasua 	Punjab 	M.Cl 	20,114
Datia 	Madhya Pradesh 		
Daudnagar 	Bihar 	M 	38,014
Daund 	Maharashtra 		
Davanagere 	Karnataka 	M.Corp. 	4,35,125
Debagarh 	Orissa 	M 	20,096
Deesa 	Gujarat 		83,340
Dehegam 	Gujarat 		38,083
Dehradun 	Uttarakhand 	UA 	530,263
Dehri-on-Sone 	Bihar 	M 	119,057
Delhi 	Delhi 	UA 	11,007,835
Deoghar 	Jharkhand 	UA 	112,525 Devar Hipparagi
Deoria 	Uttar Pradesh 		
Devarakonda 	Andhra Pradesh 	C.T 	27,434
Devar Hipparagi 	Karnataka 	T.P. 	27,434
Devgarh 	Maharashtra 		
Devgarh 	Rajasthan 		
Dewas 	Madhya Pradesh 		
Dhampur 	Uttar Pradesh 	MB 	75,000
Dhamtari 	Chhattisgarh 	M 	82,111
Dhanbad 	Jharkhand 	UA 	1,065,327
Dhar 	Madhya Pradesh 		
Dharampur 	Gujarat 		19,932
Dharamsala 	Himachal Pradesh 		
Dharmanagar 	Tripura 	N.P 	30,790
Dharmapuri 	Tamil Nadu 	M 	
Dharmavaram 	Andhra Pradesh 	M 	103,357
Dharwad 	Karnataka 		
Dhekiajuli 	Assam 	M.B 	25,349
Dhenkanal 	Orissa 	M 	57,677
Dholka 	Gujarat 		
Dhoraji 	Gujarat 		1,20,000
Dhubri 	Assam 	M.B 	64,168
Dhule 	Maharashtra 		341,473
Dhulian 	West Bengal 		
Dhuri 	Punjab 	M.Cl 	132,406
Dibrugarh 	Assam 	UA 	137,661
Digboi 	Assam 	UA 	37,143
Dighwara 	Bihar 	N.A 	27,367
Dimapur 	Nagaland 	T.C 	393,119
Dinanagar 	Punjab 	M.Cl 	21,502
Dindigul 	Tamil Nadu 		
Diphu 	Assam 	T.C 	52,310
Dipka 	Chhattisgarh 	C.T 	20,150
Dispur* 	Assam 		
Dombivli 	Maharashtra 	M.Corp.(with Kalyan) 	1,256,614
Dongargarh 	Chhattisgarh 	M 	34,441
Duliajan Oil Town 	Assam 	C.T 	23,763
Dumdum 	West Bengal 		
Dumka 	Jharkhand 	M 	44,989
Dumraon 	Bihar 	M 	45,806
Durg-Bhilai Nagar 	Chhattisgarh 	UA 	927,864
Durgapur 	Maharashtra 		
Durgapur 	West Bengal 		
Dwarka 	Gujarat 		33,614
E
Early 19th century lithograph of the Muslim ruins of Dakhil Darwaza at Gaur in English Bazar(Malda in West Bengal)
Erode, Train Station
Name of City/Town 	Name of State 	Classificatiom 	Population (2001)
Ellenabad 	Haryana 	M.C 	32,795
Eluru 	Andhra Pradesh 	UA 	515,000
Erattupetta 	Kerala 	C.T 	29,682
Erode 	Tamil Nadu 	M.Corp 	521,776
Etah 	Uttar Pradesh 		
Etawah 	Uttar Pradesh 		
English Bazar(Malda) 	West Bengal 	C.T 	324,237
Edathua 	Kerala 	T.P 	
F
Panch Mahal at Fatehpur Sikri, Uttar Pradesh
Name of City/Town 	Name of State 	Classification 	Population (2001)
Faizabad 	Uttar Pradesh 		
Falna 	Rajasthan 		
Faridabad 	Haryana 	M.Corp. 	1,055,938
Faridkot 	Punjab 	UA 	79,321
Farooqnagar 	Andhra Pradesh 	C.T 	34,470
Farrukhabad 	Uttar Pradesh 		
Fatehabad 	Haryana 	M.C 	59,917
Fatehabad 	Madhya Pradesh 		
Fatehabad 	Uttar Pradesh 		
Fatehgarh 	Uttar Pradesh 		
Fatehpur Chaurasi 	Uttar Pradesh 		
Fatehpur Sikri 	Uttar Pradesh 		
Fatehpur 	Rajasthan 		
Fatehpur 	Uttar Pradesh 		
Fatehpur 	Uttar Pradesh 		
Fatwah 	Bihar 	N.A 	38,672
Fazilka 	Punjab 	M.Cl 	67,427
Forbesganj 	Bihar 	M 	41,499
Firozabad 	Uttar Pradesh 		
Firozpur 	Punjab 	M.Cl 	95,475
Firozpur Cantt. 	Punjab 	C.B 	57,678
G
Gobichettipalayam, Tamil Nadu
Vishnupad Temple, Gaya
Road in Guntur city
Ghaziabad, Uttar Pradesh
Gorakhpur
Name of City/Town 	Name of State 	Classification 	Population (2001)
Gadarwara 	Madhya Pradesh 	CMC 	37,837
Gadhaga/Gadag 	Karnataka 		
Gadchiroli 	Maharashtra 		
Gadwal 	Andhra Pradesh 	UA 	53,560
Ganaur 	Haryana 	M.C 	29,006
Gandhidham 	Gujarat 		
Gandhinagar* 	Gujarat 		
Gangtok* 	Sikkim 	N.T.A 	29,354
Ganjam 	Odisha 		
Garhwa 	Jharkhand 	M 	36,686
Gauripur 	Assam 	T.C 	25,002
Gauribidanur 	Karnataka 	T.M.C 	
Gaya 	Bihar 	M.Corp. 	394,945
Gharaunda 	Haryana 	M.C 	30,172
Ghatampur 	Uttar Pradesh 		
Ghatanji 	Maharashtra 		
Ghatshila 	Jharkhand 	C.T 	37,854
Ghaziabad 	Uttar Pradesh 		
Ghazipur 	Uttar Pradesh 		
Giddarbaha 	Punjab 	M.Cl 	36,598
Gingee 	Tamil Nadu 	T.P 	
Giridih 	Jharkhand 	UA 	105,634
Goa Velha 	Goa 		
Goalpara 	Assam 	M.B 	49,037
Gobichettipalayam 	Tamil Nadu 	M 	60,279
Gobindgarh 	Punjab 	UA 	60,677
Gobranawapara 	Chhattisgarh 	M 	25,591
Godda 	Jharkhand 	M 	37,008
Godhra 	Gujarat 		1,00,000
Gogri Jamalpur 	Bihar 	N.A 	31,106
Gohana 	Haryana 	M.C 	48,532
Gokak 	Karnataka 	C.M.C 	82,674
Golaghat 	Assam 	M.B 	33,064
Gomoh 	Jharkhand 	C.T 	29,587
Gondiya 	Maharashtra 		
Gooty 	Andhra Pradesh 	C.T 	43,389
Gopalganj 	Bihar 	M 	54,449
Gorakhpur 	Uttar Pradesh 		
Greater Noida 	Uttar Pradesh 		
Gudalur 	Tamil Nadu 		
Gudalur 	Tamil Nadu 		
Gudalur 	Tamil Nadu 		
Gudivada 	Andhra Pradesh 	M 	113,054
Gudur 	Andhra Pradesh 	UA 	68,782
Gulbarga 	Karnataka 	M corp. 	7,45,356
Gumia 	Jharkhand 	C.T 	45,548
Gumla 	Jharkhand 	M 	39,761
Guna 	Madhya Pradesh 		
Gundlupet 	Karnataka 	T.M.C. 	26,368
Guntakal 	Andhra Pradesh 	M 	117,103
Guntur 	Andhra Pradesh 	M.Corp. 	514,461
Gunupur 	Odisha 	UA 	24,706
Gurdaspur 	Punjab 	UA 	68,441
Gurgaon 	Haryana 	M.Corp. 	228,820
Guruvayoor 	Kerala 	UA 	138,681
Guwahati 	Assam 	UA 	1,005,543
Gwalior 	Madhya pradesh 	M.Corp 	
H
Charminar in Hyderabad, Andhra Pradesh
Chuchura Ghorir More clock tower, Hugli-Chuchura, West Bengal.
Chandramouleshwara temple, Hubbali
Name of City/Town 	Name of State 	Classification 	Population (2001)
Haflong 	Assam 	T.C 	36,302
Hailakandi 	Assam 	M.B 	29,739
Hajipur 	Bihar 	M 	119,412
Haldia 	West Bengal 		
Haldwani 	Uttarakhand 	UA 	158,896
Hamirpur 	Himachal Pradesh 		
Hamirpur 	Uttar Pradesh 	M.Corp. 	38,035
Hansi 	Haryana 	M.Cl 	75,745
Hanuman Junction 	Andhra Pradesh 		
Hanumangarh 	Rajasthan 		
Hapur 	Uttar Pradesh 	M.CI. 	211,536
Harda 	Madhya Pradesh 		
Hardoi 	Uttar Pradesh 		
Haridwar 	Uttarakhand 	UA 	220,767
Haripad 	Kerala 	TP 	19,064
Harsawa 	Rajasthan 		
Harur 	Tamil Nadu 	TP 	
Haasana 	Karnataka 		
Hastinapur 	Uttar Pradesh 		
Hathras 	Uttar Pradesh 		
Hazaribag 	Jharkhand 	UA 	135,473
Hilsa 	Bihar 	N.A 	37,775
Himatnagar 	Gujarat 		
Hindupur 	Andhra Pradesh 	M 	125,074
Hinjilicut 	Odisha 	N.A.C 	21,347
Hisar 	Haryana 	UA 	263,186
Hisua 	Bihar 	N.A 	25,205
Hodal 	Haryana 	M.C 	38,309
Hojai 	Assam 	M.B 	35,718
Hoshiarpur 	Punjab 	M.Cl 	149,668
Hosapet 	Karnataka 		
Howrah 	West Bengal 		
Hubbali 	Karnataka 		
Hukkeri 	Karnataka 	T.P 	23,010
Hugli-Chuchura 	West Bengal 		170, 201
Hussainabad 	Jharkhand 	N.A 	23,441
Hyderabad* 	Andhra Pradesh 	UA 	5,742,036
I
Name of City/Town 	Name of State 	Classification 	Population (2001)
Ichalkaranji 	Maharashtra 		420,000
Ichchapuram 	Andhra Pradesh 	N.P 	32,662
Idar 	Gujarat 		
Imphal* 	Manipur 	UA 	250,234
Indirapuram 	National Capital Region (India) 	
Indi 	Karnataka 	T.M.C. 	
Indore 	Madhya Pradesh 	M.Corp. 	2,167,447
Indranagar 	Tripura 	C.T 	17,807
Irinjalakuda 	Kerala 	M 	28,873
Islampur 	Bihar 	N.A 	29,868
Islampur 	West Bengal 		
Itanagar* 	Arunachal Pradesh 	C.T 	35,022
Itarsi 	Madhya Pradesh 	UA 	1,14,430
Idukki 	Kerala 		
J
The Jhargram palace
Jorhat City Skyline
Name of City/Town 	Name of State 	Classification 	Population (2001)
Jabalpur 	Madhya Pradesh 	M. Corp. 	1,270,000 (2011)
Jagadhri 	Haryana 		
Jagatsinghapur 	Odisha 	N.A.C 	30,824
Jagdalpur 	Chhattisgarh 	UA 	103,123
Jagdispur 	Bihar 	M 	28,085
Jaggaiahpet 	Andhra Pradesh 	N.P 	40,373
Jagraon 	Punjab 	M.Cl 	60,080
Jagtial 	Andhra Pradesh 	M 	85,521
Jaipur* 	Rajasthan 		3110570 (2011)
Jais 	Uttar Pradesh 		
Jaisalmer 	Rajasthan 		
Jaitaran 	Rajasthan 		
Jaitu 	Punjab 	UA 	33,465
Jajapur 	Odisha 	M 	32,239
Jajmau 	Uttar Pradesh 	M. Corp. 	652,831
Jalalabad 	Punjab 	UA 	32,924
Jalna 	Maharashtra 		
Jalandhar Cantt. 	Punjab 	C.B 	40,531
Jalandhar 	Punjab 	UA 	714,077
Jaleswar 	Odisha 	N.A.C 	21,387
Jalgaon 	Maharashtra 		
Jalpaiguri 	West Bengal 	U.A 	169,013
Jalore 	Rajasthan 		
Jamalpur 	Bihar 	M 	96,983
Jammalamadugu 	Andhra Pradesh 	C.T 	40,514
Jammu 	Jammu and Kashmir 	UA 	(2011) 951,373
Jamnagar 	Gujarat 		1,910,000
Jamshedpur 	Jharkhand 	UA 	1,618,524
Jamtara 	Jharkhand 	N.A 	22,558
Jamui 	Bihar 	M 	(2011)951.373
Jandiala 	Punjab 	M.Cl 	23,834
Jangaon 	Andhra Pradesh 	N.P 	43,996
Janjgir 	Chhattisgarh 	M 	32,513
Jashpurnagar 	Chhattisgarh 	N.P 	20,239
Jaspur 	Uttarakhand 	M.B 	38,937
